,,,,,,
,,,,,,
1640616850,1,,,,,
,,,,,,
,,,,,0,Other
1936448617,1,,,,1,int to ll
,,,,,2,remove debug statement
,,,,,3,local to global
,,,,,4,long to ll
2018339960028,1,,,,5,signed to unsigned
,,,,,6,Added fast IO
3agwa,1,,,,7,scanf to cin
,,,,,8,Decreased no. of typecasts to double
50up,6,,,,9,Map to unordered map
,,,,,10,printf to cout
,,,,,11,cin to getchar reading
,,,,,12,cout to printf
,,,,,,
,,,,,,
Aaman007,"0,1",,,,,
AARON33,1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
adam750306,"0,1",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ahppiaw,"0,1",,,,,
AIRBOYONE,1,,,,,
AIUSR_TMP,1,,,,,
ajarihant,9,,,,,
,,,,,,
,,,,,,
AlexMill,1,,,,,
,,,,,,
Alphatrance,0,used pragma,,,,
,,,,,,
Al_Shahriar_Tonmoy,12,,,,,
,,,,,,
,,,,,,
,,,,,,
ammar_Ahmed,"0,1",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
apogee221,"0,1",,,,,
Araomis,"0,1",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
arpit2601,1,,,,,
Artichoke,12,,,,,
,,,,,,
arun001,1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
badcw,1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
bbuddhabhushan,1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
buerjun,"0,1",,,,,
,,,,,,
,,,,,,
bybye123,1,,,,,
cang_qiong,1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ChandlerMTR,1,,,,,
,,,,,,
,,,,,,
chefpriyanshi,1,,,,,
chenfu1234,"0,1",,,,,
chenhongta0,1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
christ2go,1,,,,,
cjc,"0,1",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DalaoTaiQL,"0,1",,,,,
,,,,,,
Darek_,1,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Dcastillo41,"0,1",,,,,
deepakjnv880,1,,,,,
,,,,,,
,,,,,,
Denisstourisaf27,"0,1",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
_Uchiha_,"0,1",,,,,
,,,,,,
__meowth__,1,,,,,
