,,-,109
,,int - ll,19
Dhairya_Shah,int - ll,ll - int,1
,,float - long double,1
,,chaned condo of for loop removed iso base,1
,,logic + int - ll,3
,,- wrong understanding of constarints,3
,,small logic + int -ll,4
,,small logic + removed iso,1
,,logic + vector - array,1
,,,
,,Total,143
,,,
Dx18,int - ll,,
DXLoc,int - ll,,
DXTsT,int - ll,,
dylanrhodes,ll - int,,
ecasdqina,int - ll,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Emperor,float - long double,,
Engineer124,int - ll,,
Entropy___,int - ll,,
,,,
,,,
,,, - wrong understanding of constraints
,,,
,,,
,,,
fish_toucher,int - ll,,
FiveJson,logic + int - ll,,
,,,
garyparrot,int - ll,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
GoWind,int - ll,,
,,,
Grafiore,int - ll,,
,,,
,,,
,,,
handle_taken,- wrong understanding of constarints,,
,,,
,,,
HappyBaken2019,int - ll,,
hardik8464,- wrong understanding of constarints,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
hm.sayem,small logic + int -ll,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ilbro,small logic + int -ll,,
Ilya-bar,small logic + removed iso,,
,,,
incognito_,int - ll,,
,,,
InfiniteJest,logic + int - ll,,
,,,
,,,
,,,
Isalix,int - ll,,
ish_codes,small logic + int -ll,,
,,,
ItsNikolor,int - ll,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
jinli_,int - ll,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
kaihr,small logic + int -ll,,
kansal_strange,logic + vector - array,,
,,,
kartikstud,int - ll,,
KasuganoSora6,logic + int - ll,,
,,,
Kayoxity,- wrong understanding of constarints,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
KingOfQQ,int - ll,,
,,,
KirillBaskakov,int - ll,,
,,,
,,`,
